product_feature_value_id,feature_value_id
2bc95498-b9a3-4875-9b9d-a21fddb99e1a,3b16b9a9-28b5-4421-a419-f2c0a580a622
049a569d-1a7b-4799-befc-a011e1460885,28408059-9560-428c-be43-378a604ac3e8
77042190-96d2-47d8-ab24-3572d49085be,20bc1485-d0c4-4b2b-b0b4-c282c203431a
38f708a2-b2b9-4c77-a399-6da5b83473a9,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
38f708a2-b2b9-4c77-a399-6da5b83473a9,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
3d926ba0-b2da-4db6-ad4a-27f72f94f0cf,8e47f6b9-4a44-4ce0-98bf-f3e7356fa1d2
d6c4ce10-7fd7-4f80-982d-2349f3dcb850,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
d6c4ce10-7fd7-4f80-982d-2349f3dcb850,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
d6c4ce10-7fd7-4f80-982d-2349f3dcb850,1f33d527-6045-4358-afd9-602ae8644b43
e542728d-a3a4-405d-bb6d-b14fc6aa2b37,35501750-04e3-48bd-bfe4-3aa7d22e3baa
62fe3c01-f3b1-4c79-b945-c24f9627cc97,abc6c08b-0d8b-4b68-9a5e-18e8122308ca
22daf674-d03e-4666-a574-2a75a8b98029,1f33d527-6045-4358-afd9-602ae8644b43
22daf674-d03e-4666-a574-2a75a8b98029,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
22daf674-d03e-4666-a574-2a75a8b98029,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
03838d07-cbce-4ec2-beab-9d886c4b89bc,6ca59447-c208-40e3-ab57-7edb01549cbf
7aad76e6-6b31-4794-81af-eed1d29976c8,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
54e0bce8-d49f-4949-b2d9-bde1845d1c06,6ca59447-c208-40e3-ab57-7edb01549cbf
8c9d6d66-f89b-4027-9183-6576ddc95ac0,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
8c9d6d66-f89b-4027-9183-6576ddc95ac0,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
44c124eb-59c2-43e1-b864-d6bf5822ad0b,6ca59447-c208-40e3-ab57-7edb01549cbf
beca580b-2499-4618-97c1-99b4c97e68f8,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
beca580b-2499-4618-97c1-99b4c97e68f8,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
beca580b-2499-4618-97c1-99b4c97e68f8,72f27659-ea6c-40a3-9f2d-dfe7d82c853b
996d62cf-d379-4089-9c69-8eaacaf002f5,5fc091c1-fa87-45b5-878f-8deb38c39f5e
3e97f606-275b-407b-aae6-44a9123347f8,1f33d527-6045-4358-afd9-602ae8644b43
3e97f606-275b-407b-aae6-44a9123347f8,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
3e97f606-275b-407b-aae6-44a9123347f8,ae92de86-1329-4de8-bbcc-f478e9f8628b
85ec3944-6758-4051-8287-2191ca29b3da,cde9a632-6add-43ce-8de9-84ce69637125
bf9c664b-330d-4f22-82cb-ba8a577dd75b,6ca59447-c208-40e3-ab57-7edb01549cbf
2e0cf363-7149-4b42-984d-55c97f16f2ca,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
2e0cf363-7149-4b42-984d-55c97f16f2ca,ae92de86-1329-4de8-bbcc-f478e9f8628b
0c83074d-7c1c-4e2c-a3d3-dc66781448c5,6ca59447-c208-40e3-ab57-7edb01549cbf
b1dccafd-aad1-446a-8ae5-964f9297e76f,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
03e6a5e1-954c-49e7-8cfe-66492cd98882,28408059-9560-428c-be43-378a604ac3e8
3b2929af-e28a-4472-af40-912e3ee84cbe,3b16b9a9-28b5-4421-a419-f2c0a580a622
b916eb1d-23b5-4707-ac0f-72f975d2d071,5fc091c1-fa87-45b5-878f-8deb38c39f5e
eef8f32b-7835-4b9f-bfde-35c3e19db968,bff58644-e49e-473a-982c-92154bff459a
38fc271d-e660-4b45-9e4f-c97a4a0bbd80,6ca59447-c208-40e3-ab57-7edb01549cbf
afaa5845-c925-4090-84c3-a7d8036a11cf,d8552976-9336-4818-a952-a6ada26a3006
afaa5845-c925-4090-84c3-a7d8036a11cf,05155868-5a51-4328-bec7-587f5f081148
70ed500d-cae3-4bc3-8544-85784713d2eb,c0616b1c-7741-4f55-9da3-7b115b34481c
9bd36144-09de-4e6e-b787-30c857be0b19,02257903-92fa-4ef4-8ba7-12758b989472
910c8311-ce03-4459-a0f5-292992a83077,02257903-92fa-4ef4-8ba7-12758b989472
de059e0a-1f62-4d84-99d5-fe521d9cdaa5,6ca59447-c208-40e3-ab57-7edb01549cbf
0ef01db7-68bb-46bc-8d5b-582241bed22e,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
0ef01db7-68bb-46bc-8d5b-582241bed22e,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
0ef01db7-68bb-46bc-8d5b-582241bed22e,41d62f31-a92e-4ff2-9981-41f3cf46ebeb
5bb31a00-a1ca-4ce3-8877-5c7d6738ffc2,cde9a632-6add-43ce-8de9-84ce69637125
6776fe1b-69f3-4ab1-94ae-0b6c9aa43ad3,5fc091c1-fa87-45b5-878f-8deb38c39f5e
9dfabf8a-adc7-4b2d-bbb8-1bacc119e3b8,ae92de86-1329-4de8-bbcc-f478e9f8628b
a915fde9-ad9d-465a-84b4-97140ab6a023,6ca59447-c208-40e3-ab57-7edb01549cbf
ba9f17df-85d8-44a8-89dd-9052e64b0249,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
ba9f17df-85d8-44a8-89dd-9052e64b0249,ae92de86-1329-4de8-bbcc-f478e9f8628b
ba9f17df-85d8-44a8-89dd-9052e64b0249,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
ba9f17df-85d8-44a8-89dd-9052e64b0249,fc1941db-1098-4bd5-a9c7-d9fe8b94172d
