id,name,origin,number
81ff4456-9c03-441f-9201-9410cae79d85,BRAND76,MAINSTREAM,0
85db1100-3042-4cfb-8108-e3b86d904407,BRAND77,NO_MAINSTREAM,0
8a22fb35-a796-4eed-9c57-06f110e4e3e6,BRAND78,NO_MAINSTREAM,0
8d0a58df-f457-4299-a14f-de0fbb974386,BRAND79,NO_MAINSTREAM,0
91664c1b-3d18-4eab-b3ca-79072c417d45,BRAND81,NO_MAINSTREAM,0
91930574-de0a-4e8f-a391-2e2c7bf9ed06,BRAND82,MAINSTREAM,0
921d101c-6d05-4d3a-94fa-b50b955f0561,BRAND83,MAINSTREAM,0
921f8c67-2a93-4329-9247-c4153183b04b,BRAND84,WHOLE_SALE,0
95df4383-b234-40e0-87b1-d52032a815fb,BRAND85,NO_MAINSTREAM,0
974bd864-5f7e-4b18-a28d-03e8f46c8507,BRAND87,WHOLE_SALE,0
97a208d1-6dc8-4198-9638-0f37233cc66e,BRAND88,NO_MAINSTREAM,0
988e3625-7d5a-46f9-b93b-f3b15c8d6e61,BRAND89,MAINSTREAM,0
9b5272b3-c05f-4237-913b-61dde0fdb8d0,BRAND90,MAINSTREAM,0
9ef43878-70f3-43df-959d-49af8b1f580f,BRAND91,WHOLE_SALE,0
9fead4cd-d80d-4488-be05-beddd6b45fb5,BRAND92,MAINSTREAM,0
a0a2efad-234c-4ed3-962c-1f66a41e5da1,BRAND93,WHOLE_SALE,0
a5905093-f8e4-44cc-971a-a12403411c49,BRAND95,NO_MAINSTREAM,0
a653959a-b880-427e-86a2-eb613e07a756,BRAND96,WHOLE_SALE,0
a686154a-8570-40ae-b6a2-dc82842a5e32,BRAND97,OWN_PRODUCTION,0
a9781aba-c1a3-4bf5-9c50-26cc60e7d4cf,BRAND98,NO_MAINSTREAM,0
ae7e5951-6317-42e5-9d7e-0b7cab5fff0a,BRAND99,WHOLE_SALE,0
af4acb4b-5bd2-4d87-8bd2-fe5d0ccae443,BRAND100,NO_MAINSTREAM,0
b6758f9e-102c-4d39-98b2-b4c5e7a8d6c2,BRAND101,NO_MAINSTREAM,0
b767f189-d40b-49cc-adf1-fc4ee11438d7,BRAND102,MAINSTREAM,0
b7addd6d-e506-4da6-90e7-0f73bc435d28,BRAND103,NO_MAINSTREAM,0
bb343cd9-9b67-4952-b521-86feda507e79,BRAND104,NO_MAINSTREAM,0
bcdc75ed-99e1-4efe-9912-2805ca4a0105,BRAND105,WHOLE_SALE,0
bda0bdf1-d19e-4700-9493-78250dce8a6f,BRAND106,WHOLE_SALE,0
be0058d8-f6c3-4e8d-8cc2-584c8f983e70,BRAND107,MAINSTREAM,0
c1a88681-f26a-450f-a95f-71af63e1c27e,BRAND108,NO_MAINSTREAM,0
c22a8b00-a91b-4f6f-af11-8553e7c13ea9,BRAND109,MAINSTREAM,0
c3159d66-c344-4f24-bee1-1d5966e567d6,BRAND110,NO_MAINSTREAM,0
c32c4fd0-dd8d-4ea9-aa02-7e4b26ecb4f8,BRAND111,NO_MAINSTREAM,0
c373a4f2-a8de-41e8-86a0-04725b575436,BRAND112,NO_MAINSTREAM,0
c76ff1d5-8d0f-459f-9664-a7e405bdfa38,BRAND113,NO_MAINSTREAM,0
c92b024d-9dc7-45a7-8de0-b6b6980c16db,BRAND115,NO_MAINSTREAM,0
ccb37c7e-efc3-4f3e-9d37-8944756b582f,BRAND116,WHOLE_SALE,0
ce8d442c-e662-44f8-a130-2e436f119ede,BRAND117,NO_MAINSTREAM,0
