id,feature_value_id,product_id
fc07c785-22c8-490a-b649-1a598ec4de3c,f89b500c-df98-48b9-bceb-c8ac0bfa1eee,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
9c1665bd-f42a-4f92-ad5f-f7e2015f123f,e5aac488-686c-48ac-af6e-2b0f21a980ec,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
f1d371e6-86e3-44a9-9cba-00bb2186ca3d,a79d5406-ba6d-45d5-99b3-afdb799dbdf1,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
b33e7639-cea8-4cbf-aa23-835a31d3b3b9,7f790f24-bb8b-4aa1-9537-28dc7c5bd1f8,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
08cf4977-ffca-49b4-a29f-db511366af6b,c3920fd8-b911-4e11-97d4-96e7294b4098,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
07c1d313-9c59-41b2-bc51-ea970cea21ef,9a9e40d3-4765-4cc1-8a8e-3814421cc179,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
a4173c70-4894-4191-82b1-004f6f571316,8cca4399-ed3e-4c58-b012-6ca9b71d15db,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
6db65879-7989-437c-a81b-571ab782e341,fe86f145-85ba-4c71-a6de-ecf039f2e3dd,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
e9ce541d-db9d-44df-bbe8-33f3a47386e6,112de0ae-c423-4861-a9aa-3cd0b4af4f91,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
c41300d4-f09d-4cbe-8f9f-76f33759b97a,984c468d-b49d-4062-b149-d22a4ca9bd90,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
3cdc627e-7276-4ea9-8a6f-d1a73d1a45b1,489d5d02-0f08-4508-a130-afc7927a93fb,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
1e7250b0-c7a5-4778-baa9-4000b1d753d5,c34f8e71-c5bf-42be-85c4-d936a709c0d6,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
15736ec3-c22a-41ac-9e8b-2613b5d81ddc,e85b36a8-0ab8-4c88-b777-2332c2cd4c7e,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
9d751bee-534a-4436-99d1-8517ecf8cc7f,f8e90cb9-96fc-42cb-bfad-4319385c54b5,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
066e7302-e87c-4ff7-94d9-be32d24853ff,2895fd5a-0be1-4d63-a484-8b58a4dc64e5,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
ddf8d690-ab1f-4284-affd-e784f7d043ab,1d0a8c5c-88f7-4ac8-ae70-2591238fa147,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
f0a0310d-20d2-4ef6-9d77-934fa65a23d0,c44d9726-b895-4392-a4cf-57af3ffca7c4,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
693cf422-2c68-4688-a983-23a280d65c61,faf369b9-2c53-4642-aece-6a5759523a67,d0ec3aa9-b284-4e87-81e6-cc9de7881fd4
f181082c-dba8-4563-8e03-725975cb2696,e804a9c5-7bb4-4c28-a046-6b397e4dda51,d0ef8f7b-5a9c-406e-8188-169a612da215
